Terdeteksi: 128 pasal
Range: Pasal 1 - Pasal 128
Missing (0): []

=== DETAIL PASAL ===
Pasal    1 | 0 ayat | 0 huruf | bab: BAB I KETENTUAN UMUM
Pasal   94 | 0 ayat | 0 huruf | bab: BAB VIII PENGUSAHAAN ANGKUTAN
Pasal   95 | 0 ayat | 0 huruf | bab: BAB VIII PENGUSAHAAN ANGKUTAN
Pasal   96 | 0 ayat | 0 huruf | bab: BAB VIII PENGUSAHAAN ANGKUTAN
Pasal   97 | 0 ayat | 0 huruf | bab: BAB VIII PENGUSAHAAN ANGKUTAN
Pasal   98 | 3 ayat | 3 huruf | bab: BAB VIII PENGUSAHAAN ANGKUTAN
Pasal   99 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  100 | 3 ayat | 8 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  101 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  102 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  103 | 4 ayat | 3 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  104 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  105 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  106 | 0 ayat | 0 huruf | bab: BAB IX TARIF ANGKUTAN
Pasal  107 | 6 ayat | 9 huruf | bab: BAB X SUBSIDI ANGKUTAN PENUMPANG UMUM
Pasal  108 | 3 ayat | 2 huruf | bab: BAB X SUBSIDI ANGKUTAN PENUMPANG UMUM
Pasal  109 | 0 ayat | 0 huruf | bab: BAB X SUBSIDI ANGKUTAN PENUMPANG UMUM
Pasal  110 | 0 ayat | 0 huruf | bab: BAB X SUBSIDI ANGKUTAN PENUMPANG UMUM
Pasal  111 | 0 ayat | 0 huruf | bab: BAB X SUBSIDI ANGKUTAN PENUMPANG UMUM
Pasal  112 | 2 ayat | 5 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  113 | 0 ayat | 0 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  114 | 2 ayat | 2 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  115 | 3 ayat | 8 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  116 | 0 ayat | 0 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  117 | 0 ayat | 0 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  118 | 0 ayat | 0 huruf | bab: BAB XI INDUSTRI JASA ANGKUTAN UMUM
Pasal  119 | 3 ayat | 3 huruf | bab: BAB XII SISTEM INFORMASI MANAJEMEN PERIZ
Pasal  120 | 5 ayat | 6 huruf | bab: BAB XIII PERAN SERTA MASYARAKAT
Pasal  121 | 3 ayat | 4 huruf | bab: BAB XIV SANKSI ADMINISTRATIF
Pasal  122 | 0 ayat | 0 huruf | bab: BAB XIV SANKSI ADMINISTRATIF
Pasal  123 | 3 ayat | 4 huruf | bab: BAB XIV SANKSI ADMINISTRATIF
Pasal  124 | 6 ayat | 0 huruf | bab: BAB XIV SANKSI ADMINISTRATIF
Pasal  125 | 0 ayat | 0 huruf | bab: BAB XV KETENTUAN PERALIHAN
Pasal  126 | 0 ayat | 0 huruf | bab: BAB XVI KETENTUAN PENUTUP
Pasal  127 | 0 ayat | 0 huruf | bab: BAB XVI KETENTUAN PENUTUP
Pasal  128 | 0 ayat | 0 huruf | bab: BAB XVI KETENTUAN PENUTUP
