Terdeteksi: 326 pasal
Range: Pasal 1 - Pasal 326
Missing (0): []

=== DETAIL PASAL ===
Pasal    1 | 0 ayat | 0 huruf | bab: BAB I KETENTUAN UMUM
Pasal   46 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   47 | 6 ayat | 12 huruf | bab: BAB VII KENDARAAN
Pasal   48 | 6 ayat | 21 huruf | bab: BAB VII KENDARAAN
Pasal   49 | 2 ayat | 2 huruf | bab: BAB VII KENDARAAN
Pasal   50 | 5 ayat | 3 huruf | bab: BAB VII KENDARAAN
Pasal   51 | 6 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   52 | 4 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   53 | 4 ayat | 5 huruf | bab: BAB VII KENDARAAN
Pasal   54 | 7 ayat | 13 huruf | bab: BAB VII KENDARAAN
Pasal   55 | 2 ayat | 2 huruf | bab: BAB VII KENDARAAN
Pasal   56 | 0 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   57 | 5 ayat | 8 huruf | bab: BAB VII KENDARAAN
Pasal   58 | 0 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   59 | 7 ayat | 7 huruf | bab: BAB VII KENDARAAN
Pasal   60 | 7 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   61 | 4 ayat | 8 huruf | bab: BAB VII KENDARAAN
Pasal   62 | 3 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   63 | 3 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   64 | 6 ayat | 10 huruf | bab: BAB VII KENDARAAN
Pasal   65 | 2 ayat | 3 huruf | bab: BAB VII KENDARAAN
Pasal   66 | 0 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   67 | 5 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   68 | 7 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   69 | 3 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   70 | 3 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   71 | 3 ayat | 5 huruf | bab: BAB VII KENDARAAN
Pasal   72 | 3 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   73 | 2 ayat | 2 huruf | bab: BAB VII KENDARAAN
Pasal   74 | 3 ayat | 4 huruf | bab: BAB VII KENDARAAN
Pasal   75 | 0 ayat | 0 huruf | bab: BAB VII KENDARAAN
Pasal   76 | 6 ayat | 11 huruf | bab: BAB VII KENDARAAN
Pasal   77 | 7 ayat | 2 huruf | bab: BAB VIII PENGEMUDI
Pasal   78 | 4 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   79 | 2 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   80 | 0 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   81 | 7 ayat | 13 huruf | bab: BAB VIII PENGEMUDI
Pasal   82 | 0 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   83 | 6 ayat | 8 huruf | bab: BAB VIII PENGEMUDI
Pasal   84 | 0 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   85 | 6 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   86 | 3 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   87 | 5 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   88 | 0 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   89 | 3 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   90 | 4 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   91 | 3 ayat | 0 huruf | bab: BAB VIII PENGEMUDI
Pasal   92 | 4 ayat | 4 huruf | bab: BAB VIII PENGEMUDI
Pasal   93 | 3 ayat | 13 huruf | bab: BAB IX LALU LINTAS
Pasal   94 | 5 ayat | 23 huruf | bab: BAB IX LALU LINTAS
Pasal   95 | 2 ayat | 4 huruf | bab: BAB IX LALU LINTAS
Pasal   96 | 8 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal   97 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal   98 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal   99 | 3 ayat | 5 huruf | bab: BAB IX LALU LINTAS
Pasal  100 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  101 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  102 | 4 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  103 | 4 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  104 | 5 ayat | 5 huruf | bab: BAB IX LALU LINTAS
Pasal  105 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  106 | 9 ayat | 13 huruf | bab: BAB IX LALU LINTAS
Pasal  107 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  108 | 4 ayat | 2 huruf | bab: BAB IX LALU LINTAS
Pasal  109 | 4 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  110 | 2 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  111 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  112 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  113 | 2 ayat | 5 huruf | bab: BAB IX LALU LINTAS
Pasal  114 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  115 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  116 | 2 ayat | 6 huruf | bab: BAB IX LALU LINTAS
Pasal  117 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  118 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  119 | 2 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  120 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  121 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  122 | 3 ayat | 3 huruf | bab: BAB IX LALU LINTAS
Pasal  123 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  124 | 2 ayat | 7 huruf | bab: BAB IX LALU LINTAS
Pasal  125 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  126 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  127 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  128 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  129 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  130 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  131 | 3 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  132 | 4 ayat | 2 huruf | bab: BAB IX LALU LINTAS
Pasal  133 | 6 ayat | 9 huruf | bab: BAB IX LALU LINTAS
Pasal  134 | 0 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  135 | 4 ayat | 0 huruf | bab: BAB IX LALU LINTAS
Pasal  136 | 4 ayat | 6 huruf | bab: BAB IX LALU LINTAS
Pasal  137 | 6 ayat | 3 huruf | bab: BAB X ANGKUTAN
Pasal  138 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  139 | 5 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  140 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  141 | 4 ayat | 6 huruf | bab: BAB X ANGKUTAN
Pasal  142 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  143 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  144 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  145 | 4 ayat | 5 huruf | bab: BAB X ANGKUTAN
Pasal  146 | 2 ayat | 3 huruf | bab: BAB X ANGKUTAN
Pasal  147 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  148 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  149 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  150 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  151 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  152 | 3 ayat | 9 huruf | bab: BAB X ANGKUTAN
Pasal  153 | 2 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  154 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  155 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  156 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  157 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  158 | 2 ayat | 4 huruf | bab: BAB X ANGKUTAN
Pasal  159 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  160 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  161 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  162 | 3 ayat | 7 huruf | bab: BAB X ANGKUTAN
Pasal  163 | 2 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  164 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  165 | 4 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  166 | 3 ayat | 5 huruf | bab: BAB X ANGKUTAN
Pasal  167 | 2 ayat | 4 huruf | bab: BAB X ANGKUTAN
Pasal  168 | 2 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  169 | 4 ayat | 2 huruf | bab: BAB X ANGKUTAN
Pasal  170 | 4 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  171 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  172 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  173 | 2 ayat | 5 huruf | bab: BAB X ANGKUTAN
Pasal  174 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  175 | 4 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  176 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  177 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  178 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  179 | 2 ayat | 5 huruf | bab: BAB X ANGKUTAN
Pasal  180 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  181 | 2 ayat | 3 huruf | bab: BAB X ANGKUTAN
Pasal  182 | 4 ayat | 6 huruf | bab: BAB X ANGKUTAN
Pasal  183 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  184 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  185 | 2 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  186 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  187 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  188 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  189 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  190 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  191 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  192 | 6 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  193 | 5 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  194 | 2 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  195 | 3 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  196 | 0 ayat | 0 huruf | bab: BAB X ANGKUTAN
Pasal  197 | 3 ayat | 3 huruf | bab: BAB X ANGKUTAN
Pasal  198 | 3 ayat | 5 huruf | bab: BAB X ANGKUTAN
Pasal  199 | 3 ayat | 4 huruf | bab: BAB X ANGKUTAN
Pasal  200 | 3 ayat | 8 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  201 | 2 ayat | 0 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  202 | 0 ayat | 0 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  203 | 2 ayat | 4 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  204 | 3 ayat | 0 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  205 | 0 ayat | 0 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  206 | 8 ayat | 3 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  207 | 0 ayat | 0 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  208 | 4 ayat | 5 huruf | bab: BAB XI KEAMANAN DAN KESELAMATAN LALU LIN
Pasal  209 | 2 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  210 | 2 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  211 | 0 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  212 | 0 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  213 | 2 ayat | 4 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  214 | 3 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  215 | 0 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  216 | 2 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  217 | 0 ayat | 0 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  218 | 2 ayat | 4 huruf | bab: BAB XII DAMPAK LINGKUNGAN
Pasal  219 | 3 ayat | 16 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  220 | 3 ayat | 17 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  221 | 0 ayat | 0 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  222 | 5 ayat | 12 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  223 | 2 ayat | 0 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  224 | 3 ayat | 4 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  225 | 0 ayat | 0 huruf | bab: BAB XIII PENGEMBANGAN INDUSTRI DAN TEKNO
Pasal  226 | 3 ayat | 4 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  227 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  228 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  229 | 7 ayat | 3 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  230 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  231 | 2 ayat | 4 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  232 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  233 | 4 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  234 | 5 ayat | 3 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  235 | 2 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  236 | 2 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  237 | 3 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  238 | 2 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  239 | 2 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  240 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  241 | 0 ayat | 0 huruf | bab: BAB XIV KECELAKAAN LALU LINTAS
Pasal  242 | 3 ayat | 3 huruf | bab: BAB XV PERLAKUAN KHUSUS BAGI PENYANDANG 
Pasal  243 | 0 ayat | 0 huruf | bab: BAB XV PERLAKUAN KHUSUS BAGI PENYANDANG 
Pasal  244 | 2 ayat | 4 huruf | bab: BAB XV PERLAKUAN KHUSUS BAGI PENYANDANG 
Pasal  245 | 4 ayat | 3 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  246 | 3 ayat | 0 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  247 | 4 ayat | 0 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  248 | 2 ayat | 11 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  249 | 3 ayat | 17 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  250 | 0 ayat | 0 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  251 | 0 ayat | 0 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  252 | 0 ayat | 0 huruf | bab: BAB XVI SISTEM INFORMASI DAN KOMUNIKASI
Pasal  253 | 2 ayat | 3 huruf | bab: BAB XVII SUMBER DAYA MANUSIA
Pasal  254 | 2 ayat | 0 huruf | bab: BAB XVII SUMBER DAYA MANUSIA
Pasal  255 | 0 ayat | 0 huruf | bab: BAB XVII SUMBER DAYA MANUSIA
Pasal  256 | 4 ayat | 4 huruf | bab: BAB XVIII PERAN SERTA MASYARAKAT
Pasal  257 | 0 ayat | 0 huruf | bab: BAB XVIII PERAN SERTA MASYARAKAT
Pasal  258 | 0 ayat | 0 huruf | bab: BAB XVIII PERAN SERTA MASYARAKAT
Pasal  259 | 2 ayat | 4 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  260 | 2 ayat | 9 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  261 | 0 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  262 | 5 ayat | 6 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  263 | 4 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  264 | 0 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  265 | 3 ayat | 8 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  266 | 5 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  267 | 5 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  268 | 2 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  269 | 3 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  270 | 4 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  271 | 5 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  272 | 2 ayat | 0 huruf | bab: BAB XIX PENYIDIKAN DAN PENINDAKAN PELANG
Pasal  273 | 7 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  274 | 2 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  275 | 2 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  276 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  277 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  278 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  279 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  280 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  281 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  282 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  283 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  284 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  285 | 3 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  286 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  287 | 8 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  288 | 4 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  289 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  290 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  291 | 2 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  292 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  293 | 2 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  294 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  295 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  296 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  297 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  298 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  299 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  300 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  301 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  302 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  303 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  304 | 1 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  305 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  306 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  307 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  308 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  309 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  310 | 5 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  311 | 9 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  312 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
